egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y
"280075118",2006-2010,Residential,"2239.44",true,"2532901.48699536","1152042.88013097","402.03","10472",true,false,,Boiler for multiple buildings,Not documented,"0","97981.9249533604","0","45.16726536","0","754082","1851988","845433","1006555","2155.37319805066","23349.2381811381","7463.48124795279","122959.132048193","65.155161336813","18","15.5","12","17","41.5","33.9","60","15","1798.74698795181","637.585161526359","1517.7918558171","1517.79143747945","637.581760571216","20","178.589879518072","1","['existing', 'existing', 'existing']",Wood,Wood,Boiler,I,"0.0399559652199864","120.3","52532.4057831325","0.00083","4","15.41","129.314855003389","129.314827856234","637.585161526359","165142.960963855",
"280075117",2006-2010,Residential,"2254.32",true,"2532939.78367579","1152056.65773348","402.16","10472",true,false,,Boiler for multiple buildings,Not documented,"0","98632.9676440804","0","45.46738008","0","754086","1904945","874521","1030424","2221.88889411421","23504.3826208798","7513.07248548068","123776.136247849","65.5880859968583","18","15.5","12","17","41.5","33.9","60","15","1810.69879518072","659.524212992599","1562.37126363943","1562.37043084878","659.518463265428","20","179.7765232358","1","['existing', 'existing', 'existing']",Wood,Wood,Boiler,I,"0.0398211848293411","120.3","52881.458313253","0.00083","4","15.55","133.480605098693","133.480551543025","659.524212992599","166240.256385542",
"280075116",2006-2010,Residential,"2254.32",true,"2532977.80482966","1152068.23693399","402.56","10472",true,false,,Boiler for multiple buildings,Not documented,"0","98632.9676440804","0","45.46738008","0","754088","1962237","874522","1087715","2268.3290043841","23504.3826208798","7513.07248548068","123776.136247849","65.5880859968583","18","15.5","12","17","41.5","33.9","60","15","1810.69879518072","659.523187461516","1608.83084637722","1608.81050047897","659.518503905126","20","179.7765232358","1","['existing', 'existing', 'existing']",Wood,Wood,Boiler,I,"0.0398211848293411","120.3","52881.458313253","0.00083","4","15.85","133.479623556523","133.478339903637","659.523187461516","166240.256385542",
"280058260",2006-2010,Tourism,"2176.2",true,"2533087.51239013","1152074.75704445","400.32","10474",true,false,,Solar thermal installation for multiple buildings,Not documented,"1.31","102759.994256399","22445.3768526","44.4205944","47.6087274","754137","1509836","752287","757549","1649.07934797007","22689.8743122359","7252.71848845924","0","0","18","16.4","12","17","41.5","33.9","60","15","1747.95180722892","591.628882487009","1535.3","1057.43866555035","591.640682419723","20","173.546643717728","1","['existing', 'existing', 'existing']",Gas,Solar (thermal),Solar thermal installation,I,"0.0295589155529329","120.3","51048.9325301205","0.00081","4","14.02","109.505811099333","109.507839723285","591.640682419723","160479.455421687",
9020486/280003145,1991-2000,Education,"18255.9",false,"2533521.41801846","1152386.94984316","415.63","10478",true,false,,Not documented,Not documented,"0.37","1673846.8679205","53181.6456639","852.367971","112.8032061","754243","9422943","4850357","4572586","13189.808450838","0","0","0","0","18","14.2","12","17","65","50","60","15","14663.3734939759","4249.61863947032","17875.1662280491","8937.56633372202","4252.24211711595","20","4770.30961273666",0.8879266428935303/0.11207335710646969,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV/IV,"0.122794604265997","112.900000000001","805136.511807229","0.00203","5","22.94","472.927878514764","472.927147028167","4252.24211711595","1298808.30722892",
"9082087",1991-2000,Industrial,"3135.96",false,"2533467.10067516","1152258.18625475","415.799191425215","10474",true,false,,Not documented,Not documented,"0","219377.4616224","0","94.8314304","0","754258","1976211","730536","1245675","3278.29245556147","0","0","0","0","18","16.4","12","17","65","50","60","15","2518.84337349398","572.584934172892","2631.82759821461","2631.81260698486","646.479848576609","18","550.547194492255","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IX,"0.0194766780640823","112.510000000003","195761.988144578","0.0012","6","24.4391914252153","127.679127739188","127.678514329788","646.479848576609","154294.269686747",
"9082080",1971-1980,Other,"22531.11",false,"2533541.52892534","1152581.28810482","419.13","10469",true,false,,Not documented,Not documented,"0","2337991.00871192","0","1010.65547016","0","754298","5221123","3894207","1326916","6261.6254179662","0","0","0","0","18","16.4","12","17","65","50","60","15","18097.2771084337","3438.87570849914","10089.1","2822.79627719601","3438.82914077019","20.3","452.431927710843","1",['existing'],Other,None,No heat generator,XIII,"0.0778683769416898","106","468719.477108434","0.00178","7","30.16","334.51839689685","334.518697067571","3438.87570849914","1330149.86746988",
796959/280000593,1991-2000,Education/Commercial,"22885.44",false,"2533652.14910448","1152397.35685061","416.38","10478",true,false,,Heat exchanger (DHN included) for single building/Not documented,Not documented,"4.57126788036409","1273549.3087212","823669.033489437","583.676893920158","1747.07846255999","754389","5753843","4176281","1577562","6108.20160766832","0","0","0","0","18","16.0559817945384","12","17","65","50","60","15","18381.8795180723","3351.53019403492","12754.8","2662.54013180362","3445.66147586469","20","4867.35834079174",0.15637191157347208/0.8436280884265279,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,Electricity/None,Central electrical boiler/No heat generator,IV/V,"0.0455272958637779","109.483306241873","952880.557686747","0.00102608257477244","5.3745123537061","24.77","257.466087904678","257.466509442225","3445.66147586469","1281288.38457831",
"796954",1919-1945,Residential,"265.05",true,"2533714.90324059","1152355.48175274","399.8","10478",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","28223.2889343","0","13.0102443","0","754449","322578","182304","140274","353.021738137023","2340.85581142537","748.24426035655","9967.15734939759","5.2815251242573","18","15.5","12","17","65","50","60","15","212.89156626506","94.4952500027884","200.567795012369","200.56246003539","152.459278101633","20","14.4766265060241","1","['existing', 'existing']",Gas,Electricity,Central electrical boiler,II,"0.0946438296841648","119.399999999998","5543.69638554217","0.00202","3","8.43000000000001","38.908175173306","38.9075423171994","152.459278101633","32319.0686746988",
"796955",1919-1945,Residential,"176.7",true,"2533733.2966342","1152364.17462914","399.91","10478",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","18815.5259562","0","8.6734962","0","754450","317224","181056","136168","349.770314733427","1560.57054095983","498.82950690743","6644.77156626506","3.52101674950487","18","15.5","12","17","65","50","60","15","141.927710843373","93.9362349921645","198.099887874629","198.091223517681","151.679091215745","20","9.6510843373494","1","['existing', 'existing']",Gas,Gas,Boiler,II,"0.0946438296841599","119.399999999997","3695.79759036145","0.00202","2","8.42000000000002","38.805317656453","38.8042886354378","151.679091215745","21546.0457831325",
801252/801250/801251,1981-1990,Residential,"510.57",true,"2533768.16756556","1152311.45726056","395.99","10478",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","40909.7970295199","0","18.85841352","0","754480","612463","349525","262938","711.947721906008","4509.22751046079","1441.35473311775","19199.8925783133","10.1738852393588","18","15.5","12","17","65","50","60","15","410.096385542169","178.238580646232","1269.97226693084","423.316283262969","288.631438643039","20","27.8865542168675",0.33879781420765026/0.3224043715846995/0.33879781420765026,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas,Electricity/Gas,Central electrical boiler/Boiler,II/II/II,"0.0712171391682793","119.399999999996","10678.9098795181","0.00152","3","8.78000000000009","64.6222696608214","64.6213806273386","288.631438643039","62256.7322891566",
280002239/9082079/280000382,1981-1990,Education,"15711.42",false,"2533878.78329117","1152538.42050836","402.647746040469","10469",true,false,,Not documented/Heat exchanger (DHN included) for single building,Not documented,"0.37","1440548.5984029","45769.26754182","733.5661998","97.08086418","754534","7502525","6817313","685212","7007.75464443275","0","0","0","0","18","14.2","12","17","65","50","60","15","12619.6144578313","5721.31264131767","5291.6260257558","1214.00424680756","5793.75039762519","20","4105.43100344234",0.06866343080383568/0.6560909198532023/0.275245649342962,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/District heat,None/District heat,No heat generator/Heat exchanger (DHN included),IV/IV/IV,"0.122794604265998","112.900000000001","692917.790650602","0.00203","2","8.38070727744662","459.910384976037","394.298846843592","5793.75039762519","1117782.35060241",
"801266",<1919,Residential,"566.37",true,"2533859.73621791","1152332.9694386","391.77","10478",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","54038.99454471","0","24.91065171","0","754555","582800","371880","210920","659.644487281658","5905.18523768218","1887.56647841006","31097.2223493976","16.4781948729731","18","15.5","12","17","65","50","60","15","454.915662650602","213.469310143449","497.9","349.263315921546","310.381171360113","20","45.1666265060241","1","['existing', 'existing', 'existing']",Oil,Oil,Boiler,I,"0.0868389693266341","120.3","13285.8119277108","0.00181","3","7.81999999999999","63.6684266907731","68.2225939626599","310.381171360113","41765.8069879518",
"796956",1919-1945,Residential,"251.1",true,"2533868.57938674","1152415.46563836","400.9","10469",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0","26737.8526746","0","12.3254946","0","754557","421635","222463","199172","504.882877277508","2217.65287398345","708.862983496163","9442.57012048193","5.00355011771745","18","15.5","12","17","65","50","60","15","201.686746987952","123.066934490893","429.2","324.471087486926","180.411789790582","20","13.7146987951807","1","['existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),II,"0.0946438296841643","119.399999999998","5251.92289156627","0.00202","2","9.59999999999997","44.7090754118937","44.7091136433557","180.411789790582","30618.065060241",
"796958",1946-1960,Residential,"254.82",true,"2533929.58565773","1152493.1411542","401.21","10469",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","27133.96901052","0","12.50809452","0","754625","398328","245634","152694","416.285903826793","2250.50699063463","719.3646573256","9582.46004819277","5.07767678612807","18","15.5","12","17","65","50","60","15","204.674698795181","140.550584505021","405.9","223.002395575903","193.28350825089","20","13.9178795180723","1","['existing', 'existing']",Oil,Oil,Boiler,II,"0.0946438296841644","119.399999999998","5329.72915662651","0.00202","2","7.77999999999997","52.1755128644342","52.1762749545085","193.28350825089","31071.6660240964",
"796957",1946-1960,Residential,"232.5",true,"2533964.44091376","1152468.58869358","397.23263212344","10480",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0","24757.270995","0","11.412495","0","754687","339346","207719","131627","375.034829754165","2053.38229072754","656.354614348979","8743.12048192771","4.6329167756643","18","15.5","12","17","65","50","60","15","186.746987951807","134.931847168711","375.8","204.406764996025","170.62806475814","20","12.6987951807229","1","['existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),II,"0.0946438296841634","119.399999999997","4862.89156626506","0.00202","2","7.44263212344043","50.4868996498203","60.3557157020414","170.62806475814","28350.0602409638",
190097752/280002146,1991-2000,Other,"2750.01",false,"2534018.59983068","1152368.76978409","383.768904663696","10480",true,false,,Heat exchanger (DHN included) for single building/Not documented,Not documented,"0","203600.21886174","0","88.01132004","0","754727","3670654","3199162","471492","3487.46090021746","0","0","0","0","18","16.4","12","17","65","50","60","15","2208.84337349398","2443.97088266149","1975.56802042311","987.771134760807","2499.68976545665","18.4682448427461","415.848192771084",0.7964152857625972/0.20358471423740276,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,District heat/None,Heat exchanger (DHN included)/No heat generator,XI/XIII,"0.0288020924876354","108.508708150155","58220.5584337349","0.00127","1","7.5089265498213","214.158024799966","214.156310114031","2499.68976545665","182316.415662651",
"9020490",1971-1980,Other,"3936.69",false,"2534326.78205005","1152635.8957548","387.91","10481",true,false,,Not documented,Not documented,"0","408499.440288834","0","176.58416664","0","755069","2569861","1807386","762475","2809.73043504319","0","0","0","0","18","16.4","12","17","65","50","60","15","3162","1379.81961548685","1417.62814854706","1417.62250798864","1392.10792705455","20.3","79.05","1",['existing'],Other,None,No heat generator,XIII,"0.0778683769416898","106","81895.8","0.00178","3","14.0600000000001","148.5840060292","148.583604851503","1392.10792705455","232407",
"796473",1981-1990,Residential,"260.4",true,"2532709.55997827","1152540.4533725","402.84","10503",true,false,,Condensation boiler for single building,Not documented,"0","24748.4097504","0","10.0139424","0","758449","438392","275649","162743","484.986987671372","2299.7881656114","735.117168069754","9792.29493975904","5.18886678874402","18","15.5","12","17","65","50","60","15","209.156626506024","136.98951650046","355.3","252.786425298173","232.200562373199","20","14.2226506024096","1","['existing', 'existing']",Gas,Gas,Boiler,II,"0.0674397525579231","119.399999999998","5446.43855421687","0.00152","2","7.25999999999999","48.9421719937601","48.9427533962742","232.200562373199","31752.0674698795",
"796482",1971-1980,Residential,"381.3",true,"2532725.76562616","1152574.28855","403.272799514425","10503",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","49828.2714170999","0","20.1620001","0","758450","705560","473192","232368","838.377665291744","3367.54695677477","1076.42156752645","14338.7175903614","7.59798351208945","18","15.5","12","17","65","50","60","15","306.265060240964","237.521586662229","428.398098865333","428.394324716883","409.983340574861","20","20.8260240963855","1","['existing', 'existing']",Gas,Gas,Boiler,II,"0.0927296597671488","119.399999999998","7975.1421686747","0.00209","2","6.15699457197758","92.8125842467177","92.8119712612089","409.983340574861","46494.0987951807",
796490/280006228/280110847,1919-1945/<1919,Residential/Other,"2364.99",false,"2532811.22063298","1152891.27698063","405.161421766875","10505",true,false,,Solar thermal installation for multiple buildings/Not documented,Not documented,"0","290415.319925214","0","117.156282403458","0","758499","2078668","1293246","785422","2324.71324432806","0","0","74995.8704835136","39.7397733665922","18","15.5898938261896","12","17","65","50","60","15","1899.59036144578","1075.00740597711","3652.99482845524","1217.63122105099","1107.08202327706","20.0299646087299","121.013542168675",0.9001179709005113/0.09673613841918995/0.00314589068029886,"['existing', 'existing', 'existing', 'existing']",Oil/Other,Oil/None,Boiler/No heat generator,II/XIII/XIII,"0.0869476601542506","118.061580810065","49438.7701204819","0.0019510813999213","2.80023594180088","6.86607464063809","269.728007147744","269.723095787296","1107.08202327706","273518.669638554",
"796993",<1919,Other,"504.06",false,"2532806.20033383","1152945.50023233","408.622561379038","10505",true,false,,Not documented,Not documented,"0","45974.0070846001","0","17.56447476","0","758560","649288","407207","242081","732.195318634517","0","0","0","0","18","16.4","12","17","65","50","60","15","404.867469879518","279.238564424043","701.3","373.82798991379","358.367328720727","20.3","10.121686746988","1",['existing'],Other,None,No heat generator,XIII,"0.0554043047380207","106","10486.0674698795","0.00133","2","9.39256137903783","74.6603499816477","77.9737911499708","358.367328720727","29757.7590361446",
280078313/280078314,>2010,Education/Residential,"70668.84",true,"2532982.9232908","1152780.06958956","410.979527481073","10503",true,false,,Heat pump for single building/Heat exchanger (DHN included) for single building,Not documented,"0.184210006843186","3635710.95588112","69666.6337770002","1515.09463988686","179.6471235","758636","26276486","21788287","4488199","27411.9930180088","515962.018624126","164924.98902032","4565618.10444402","2419.28825653008","18","15.0941135442438","12","17","41.5","33.9","60","15","56762.1204819277","18736.075016446","21888.103277987","8224.16694567585","19187.8260723329","20","9641.53796471601",0.3122203505816708/0.6877796494183293,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined/District heat,Solar (thermal),Solar thermal installation,IV/I,"0.0426913483274688","117.989569405696","2113253.72686747","0.000861222035058167","7.75111859767332","22.1978384651381","935.151726533731","812.622467768773","19187.8260723329","5153998.6760241",
"796492",1961-1970,Residential,"758.88",true,"2532951.19460075","1152928.79899956","410.01","10506",true,false,,Solar thermal installation for multiple buildings,Not documented,"0","95848.9162588801","0","38.78332128","0","758669","952929","444164","508765","1238.20102372486","7912.36642684025","2529.15311392721","41667.2141824441","22.0791576623087","18","15.5","12","17","65","50","60","15","609.542168674699","265.387526977383","891.407477992436","891.392180651825","346.808843073031","20","60.5188296041308","1","['existing', 'existing', 'existing']",Gas,Solar (thermal),Solar thermal installation,I,"0.0916572172316722","120.3","17801.6790361446","0.00202","3","15.9","69.8849259146214","69.8839638177276","346.808843073031","55962.0665060241",
